category,file,decision,reject_reason,duration_s,fps,frames,resolution,motion_ratio,camera_verdict,short_clip,path,error
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_1.mp4,keep,,3.8,30.0,114,1920x1080,0.2,stable,False,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_1.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_10.mp4,keep,,1.97,30.0,59,1920x1080,0.4,some_movement,True,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_10.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_11.mp4,keep,,6.7,30.0,201,1280x720,0.05,stable,False,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_11.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_12.mp4,keep,,4.1,30.0,123,1920x1080,0.06,stable,False,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_12.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_13.mp4,keep,,4.7,30.0,141,1280x720,0.14,stable,False,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_13.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_14.mp4,keep,,2.3,30.0,69,1920x1080,0.44,some_movement,True,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_14.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_15.mp4,keep,,2.17,30.0,65,1920x1080,0.52,some_movement,True,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_15.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_16.mp4,keep,,2.1,30.0,63,1920x1080,0.6,likely_moving,True,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_16.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_17.mp4,keep,,2.04,30.0,61,1920x1080,0.56,likely_moving,True,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_17.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_18.mp4,keep,,7.63,30.0,229,1280x720,0.1,stable,False,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_18.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_19.mp4,keep,,14.05,30.0,421,1280x720,0.0,stable,False,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_19.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_2.mp4,keep,,2.57,30.0,77,1920x1080,0.06,stable,True,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_2.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_20.mp4,keep,,3.92,24.0,94,1280x720,0.01,stable,False,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_20.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_21.mp4,keep,,5.0,24.0,120,1280x720,0.85,likely_moving,False,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_21.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_22.mp4,keep,,2.92,24.0,70,1280x720,0.02,stable,True,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_22.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_23.mp4,keep,,2.34,30.0,70,1920x1080,0.25,stable,True,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_23.mp4,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_24.mp4,keep,,2.8,30.0,84,1920x1080,0.38,some_movement,True,/private/tmp/claude-501/-Users-tanmay-Documents-TCD-Course-Material-Dissertation/690cb35d-0c13-4688-bfdf-75cd224266a2/scratchpad/triage_staging/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_24.mp4,
